Ticker,Buy_Date,Sell_Date,Buy_Price,Sell_Price,PnL,Return_%,Holding_Period
DCMSHRIRAM.NS,2019-05-24,2019-06-06,548.7684326171875,472.5809020996094,-7923.503173828125,-0.1388336609564519,13
CGCL.NS,2019-05-24,2019-06-06,182.41580200195312,164.56053161621094,-6302.910446166992,-0.09788225685377307,13
J&KBANK.NS,2019-05-24,2019-06-10,57.410099029541016,49.72039031982422,-8028.055892944336,-0.13394348450365798,17
LINDEINDIA.NS,2019-05-24,2019-06-13,527.3433837890625,525.2540283203125,-355.1904296875,-0.0039620397884535564,20
TTML.NS,2019-06-07,2019-06-13,4.688577175140381,3.9230949878692627,-10305.686687231064,-0.1632653486711987,6
BALRAMCHIN.NS,2019-05-24,2019-06-17,143.36953735351562,139.15553283691406,-2187.068344116211,-0.02939260734454919,24
BLUESTARCO.NS,2019-05-24,2019-06-18,360.9830017089844,353.0806884765625,-1675.2904052734375,-0.021891095134702564,25
FACT.NS,2019-06-07,2019-06-18,43.855281829833984,34.984554290771484,-13625.4375,-0.20227272905194052,11
INDIGO.NS,2019-05-24,2019-06-21,1613.95751953125,1544.64208984375,-3604.40234375,-0.04294749325721512,28
NAM-INDIA.NS,2019-05-24,2019-06-25,187.68299865722656,181.4983673095703,-2158.4363403320312,-0.03295253907868077,32
GODREJPROP.NS,2019-06-28,2019-07-02,997.4784545898438,955.7302856445312,-3214.6090087890625,-0.041853704962959884,4
REDINGTON.NS,2019-06-21,2019-07-05,42.58003234863281,39.25764846801758,-5867.329933166504,-0.07802680499189221,14
BEL.NS,2019-05-24,2019-07-08,32.54970932006836,29.46360969543457,-8637.992849349976,-0.09481189507062879,45
ATUL.NS,2019-05-24,2019-07-08,3634.54833984375,3791.839599609375,5505.194091796875,0.0432767004475684,45
SRF.NS,2019-05-24,2019-07-09,558.521240234375,544.6898193359375,-2434.330078125,-0.024764359709280443,46
