date,current_universe_equity,pit_universe_equity
2024-07-05,9625905.971339226,5266115.5684194565
2024-07-08,9630080.017054558,5257196.563780785
2024-07-09,9632134.94243908,5236024.773924828
2024-07-10,9496523.245631218,5148477.6258535385
2024-07-11,9584755.382502556,5179833.882018089
2024-07-12,9478077.21724987,5152583.728941917
2024-07-15,9422501.76488781,5151684.15670681
2024-07-16,9506806.15261364,5203658.73080349
2024-07-18,9375390.788874626,5134387.305449486
2024-07-19,9228838.797968864,5075645.8582754135
2024-07-22,9378217.849635124,5137541.864653587
2024-07-23,9250779.416956902,5056244.241606712
2024-07-24,9317327.135554314,5037154.659575462
2024-07-25,9284258.498011589,4997912.785002708
2024-07-26,9283960.242732048,5005953.984892845
2024-07-29,9427841.277300835,5091390.377402306
2024-07-30,9495302.28679943,5093444.340659142
2024-07-31,9444787.260081291,5063082.196326256
2024-08-01,9348921.223017693,5032195.056052208
2024-08-02,9341429.984812737,5035515.32580471
2024-08-05,9013426.131747246,4836556.035681725
2024-08-06,8889728.560267448,4777718.13339901
2024-08-07,9101729.836314201,4899838.274153709
2024-08-08,9090060.109431267,4924552.367613792
2024-08-09,9135140.085131645,4946056.315901756
2024-08-12,9234240.425204277,4983665.933997154
2024-08-13,9138089.432894707,4931671.573485374
2024-08-14,9031573.136828423,4880128.092162132
2024-08-16,9114006.63659954,4939814.565131187
2024-08-19,9230748.22885418,5001017.624258995
2024-08-20,9210435.054476738,4979603.141928673
2024-08-21,9367988.356890678,5076415.47135067
2024-08-22,9397737.76904583,5067481.730414391
2024-08-23,9498452.204760551,5092321.868643761
2024-08-26,9488740.175829887,5052191.52905941
2024-08-27,9651679.083498955,5154742.616080284
2024-08-28,9692855.08116436,5125766.330534935
2024-08-29,9545619.685229301,5063512.279349327
2024-08-30,9625253.850085258,5075599.821158409
2024-09-02,9530360.197909355,5060434.117072105
2024-09-03,9659061.327197075,5113973.319602013
2024-09-04,9658302.54310894,5107284.930258751
2024-09-05,9590677.064166069,5071154.200919151
2024-09-06,9528568.885867119,5066047.441199303
2024-09-09,9401408.15713787,5060256.015128136
2024-09-10,9542295.431826591,5094933.495131493
2024-09-11,9453558.79663372,5062884.261214256
2024-09-12,9326514.301638603,5102113.832793236
2024-09-13,9453121.19861126,5138140.225905418
2024-09-16,9547141.93637371,5142267.2145757675
2024-09-17,9519061.164980888,5105287.368834496
2024-09-18,9447668.283724785,5106853.15229702
2024-09-19,9353162.247164726,5056680.972594261
2024-09-20,9392758.219698906,5085467.494048119
2024-09-23,9304882.200137138,5065460.8926000595
2024-09-24,9412460.269228935,5085661.468085289
2024-09-25,9358869.98465252,5040329.888251305
2024-09-26,9336639.020388603,5079465.582663536
2024-09-27,9412960.854250908,5129422.264624596
2024-09-30,9417791.387919426,5110498.44451046
2024-10-01,9455888.040675163,5109868.712561607
2024-10-03,9295556.031329155,4943809.060370445
2024-10-04,9225593.408473015,4911574.4048986435
2024-10-07,8731123.109347343,4697860.85668087
2024-10-08,8934888.231783867,4805324.683951378
2024-10-09,9050320.055636406,4881099.27124691
2024-10-10,9084801.280154228,4901975.566840172
2024-10-11,9183511.279086113,4955326.147696495
2024-10-14,9255179.08160305,4962146.184243202
2024-10-15,9272999.58079052,5005934.944611549
2024-10-16,9226657.6130476,4994479.458361626
2024-10-17,9074172.521754265,4910216.629122734
2024-10-18,9135003.887896538,4907094.930560112
2024-10-21,8874639.359160423,4794587.137244225
2024-10-22,8503210.380980492,4587242.377356529
2024-10-23,8568547.518950462,4566389.47727108
2024-10-24,8547274.434203148,4561507.684454918
2024-10-25,8430556.617278099,4501576.352240562
2024-10-28,8514834.765349388,4562428.146185875
2024-10-29,8651723.866850853,4619334.287726402
2024-10-30,8562004.24578762,4602665.1475896835
2024-10-31,8736729.340697289,4702557.758734703
2024-11-01,8813886.571562767,4774366.531165123
2024-11-04,8797249.989012718,4726569.384314537
2024-11-05,8870315.081755638,4774553.111609459
2024-11-06,9021575.436766624,4846411.510931969
2024-11-07,8919912.065764427,4799913.999182701
2024-11-08,8972838.998473167,4784949.872870445
2024-11-11,8807481.316374779,4708112.997961998
2024-11-12,8659410.519133568,4586744.336890221
2024-11-13,8422060.945189476,4443572.148779869
2024-11-14,8410666.079100609,4457877.9076452255
2024-11-18,8466447.353819847,4495566.401144981
2024-11-19,8526403.849913597,4510796.247168541
2024-11-21,8545450.234618187,4511174.916235924
2024-11-22,8633369.851744652,4549430.369757652
2024-11-25,8645481.237303734,4544697.9757146835
2024-11-26,8601609.807494164,4509375.927542686
2024-11-27,8707114.346190453,4538690.650931358
2024-11-28,8726391.389159203,4538586.692038536
2024-11-29,8779699.37078762,4560383.020804405
2024-12-02,8854581.47814846,4591163.450644493
2024-12-03,8929333.912962914,4620535.386343956
2024-12-04,8965458.70080471,4625796.467917442
2024-12-05,9094679.432311058,4692732.3197546005
2024-12-06,9108174.496581078,4723520.39095211
2024-12-09,9173074.04809475,4764173.782828331
2024-12-10,9150895.402892113,4791771.186240196
2024-12-11,9187385.688109398,4785902.889914513
2024-12-12,9045318.838377953,4754344.082724571
2024-12-13,9058479.412779808,4762399.819663048
2024-12-16,9155502.425078392,4788085.253195763
2024-12-17,9162705.63749218,4825664.944022179
2024-12-18,9057858.767325401,4789406.322775841
2024-12-19,9109347.02093792,4807721.338828087
2024-12-20,8851108.90248394,4655087.4857702255
2024-12-23,8875955.828852654,4676291.671378136
2024-12-24,8911798.554190636,4672091.656149864
2024-12-26,8882399.448111534,4662057.752310753
2024-12-27,8908435.421042442,4666576.538352013
2024-12-30,8821931.33910656,4690705.058157921
2024-12-31,8798885.665888786,4674419.359671593
2025-01-01,8833981.59301281,4674983.242606163
2025-01-02,8846599.363825798,4693981.4381017685
2025-01-03,8842424.716975212,4679027.941214561
2025-01-06,8550619.965144157,4525882.140433311
2025-01-07,8688036.58556652,4581292.583731651
2025-01-08,8561541.236506462,4503731.950675011
2025-01-09,8426372.773859978,4436715.15532589
2025-01-10,8260807.913081169,4384141.1920080185
2025-01-13,7983179.8471632,4289613.370779991
2025-01-14,7997004.004450798,4305654.895194054
2025-01-15,8007311.027827263,4311112.171561241
2025-01-16,8007722.306757927,4311330.079764366
2025-01-17,7997747.745905876,4306049.174735069
2025-01-20,7993420.108210564,4303755.133475304
2025-01-21,7995124.034174919,4304659.271414757
2025-01-22,7966061.22393322,4289271.855154991
2025-01-23,7979996.32348156,4296649.3060827255
2025-01-24,7967031.097285271,4289784.810965538
2025-01-27,7903278.576289177,4256030.516776085
2025-01-28,7903278.576289177,4256030.516776085
2025-01-29,7903278.576289177,4256030.516776085
2025-01-30,7903278.576289177,4256030.516776085
2025-01-31,7903278.576289177,4256030.516776085
2025-02-01,7903278.576289177,4256030.516776085
2025-02-03,7903278.576289177,4256030.516776085
2025-02-04,7903278.576289177,4256030.516776085
2025-02-05,7903278.576289177,4256030.516776085
2025-02-06,7903278.576289177,4256030.516776085
2025-02-07,7903278.576289177,4256030.516776085
2025-02-10,7903278.576289177,4256030.516776085
2025-02-11,7903278.576289177,4256030.516776085
2025-02-12,7903278.576289177,4256030.516776085
2025-02-13,7903278.576289177,4256030.516776085
2025-02-14,7903278.576289177,4256030.516776085
2025-02-17,7903278.576289177,4256030.516776085
2025-02-18,7903278.576289177,4256030.516776085
2025-02-19,7903278.576289177,4256030.516776085
2025-02-20,7903278.576289177,4256030.516776085
2025-02-21,7903278.576289177,4256030.516776085
2025-02-24,7903278.576289177,4256030.516776085
2025-02-25,7903278.576289177,4256030.516776085
2025-02-27,7903278.576289177,4256030.516776085
2025-02-28,7903278.576289177,4256030.516776085
2025-03-03,7903278.576289177,4256030.516776085
2025-03-04,7903278.576289177,4256030.516776085
2025-03-05,7903278.576289177,4256030.516776085
2025-03-06,7903278.576289177,4256030.516776085
2025-03-07,7903278.576289177,4256030.516776085
2025-03-10,7903278.576289177,4256030.516776085
2025-03-11,7903278.576289177,4256030.516776085
2025-03-12,7903278.576289177,4256030.516776085
2025-03-13,7903278.576289177,4256030.516776085
2025-03-17,7903278.576289177,4256030.516776085
2025-03-18,7903278.576289177,4256030.516776085
2025-03-19,7903278.576289177,4256030.516776085
2025-03-20,7903278.576289177,4256030.516776085
2025-03-21,7903278.576289177,4256030.516776085
2025-03-24,7903278.576289177,4256030.516776085
2025-03-25,7903278.576289177,4256030.516776085
2025-03-26,7903278.576289177,4256030.516776085
2025-03-27,7903278.576289177,4256030.516776085
2025-03-28,7903278.576289177,4256030.516776085
2025-04-01,7903278.576289177,4256030.516776085
2025-04-02,7903278.576289177,4256030.516776085
2025-04-03,7903278.576289177,4256030.516776085
2025-04-04,7903278.576289177,4256030.516776085
2025-04-07,7903278.576289177,4256030.516776085
2025-04-08,7903278.576289177,4256030.516776085
2025-04-09,7903278.576289177,4256030.516776085
2025-04-11,7903278.576289177,4256030.516776085
2025-04-15,7903278.576289177,4256030.516776085
2025-04-16,7903278.576289177,4256030.516776085
2025-04-17,7903278.576289177,4256030.516776085
2025-04-21,7903278.576289177,4256030.516776085
2025-04-22,7903278.576289177,4256030.516776085
2025-04-23,7903278.576289177,4256030.516776085
2025-04-24,7903278.576289177,4256030.516776085
2025-04-25,7903278.576289177,4256030.516776085
2025-04-28,7903278.576289177,4256030.516776085
2025-04-29,7903278.576289177,4256030.516776085
2025-04-30,7903278.576289177,4256030.516776085
2025-05-02,7903278.576289177,4256030.516776085
2025-05-05,7993387.299204826,4294705.552084923
2025-05-06,7901409.7311964035,4254282.358878136
2025-05-07,7992925.531413078,4308607.738547325
2025-05-08,7856144.840907097,4228753.530112267
2025-05-09,7830866.437479973,4201460.613913536
2025-05-12,8060726.301753044,4311213.433859825
2025-05-13,8163818.155772209,4368057.016562462
2025-05-14,8225043.176188469,4387784.211081505
2025-05-15,8324527.112895012,4429272.921256065
2025-05-16,8352793.797709465,4454737.658652306
2025-05-19,8294937.891306877,4408279.067130089
2025-05-20,8206371.501246452,4355149.602805138
2025-05-21,8266595.98867321,4376491.442709923
2025-05-22,8270159.65160656,4375237.768362999
2025-05-23,8319627.7663526535,4401761.539298058
2025-05-26,8341984.227702141,4414066.487448692
2025-05-27,8349392.3877363205,4421473.138419151
2025-05-28,8442995.421061516,4448012.40267086
2025-05-29,8500615.110957146,4507050.825583458
2025-05-30,8557150.532465935,4522241.350729942
2025-06-02,8634525.931910515,4555479.568762779
2025-06-03,8683956.945780754,4572006.618842125
2025-06-04,8771355.656359673,4626380.849104881
2025-06-05,8821392.406855583,4658400.954535484
2025-06-06,8756504.959116936,4637252.774207115
2025-06-09,8848499.929369926,4676651.354353905
2025-06-10,8940308.662882805,4716796.810461998
2025-06-11,8823132.589648247,4667967.567702293
2025-06-12,8700760.323634148,4600319.458807945
2025-06-13,8699572.265414238,4596094.036986351
2025-06-16,8756147.676016808,4632430.889025688
2025-06-17,8719601.181929588,4628705.897295952
2025-06-18,8708677.083571434,4620757.521594048
2025-06-19,8571465.754637718,4533084.510210991
2025-06-20,8658191.440947533,4515733.51979351
2025-06-23,8721502.529047966,4550999.749468803
2025-06-24,8640909.07638836,4511338.410326958
2025-06-25,8694496.994708061,4553677.878893852
2025-06-26,8763696.725398064,4592358.027911186
2025-06-27,8795239.824687004,4632039.336886406
2025-06-30,8935574.503718376,4654254.699542046
2025-07-01,8866656.822901726,4608266.812273979
2025-07-02,8783546.124712944,4550569.525790215
2025-07-03,8777097.754267693,4555444.404650688
2025-07-04,8816337.41093731,4544757.30559063
2025-07-07,8729386.516001701,4534630.782336235
2025-07-08,8735500.1258955,4501170.417834282
2025-07-09,8847807.280398369,4537263.204577446
2025-07-10,8851736.87337017,4518686.469531059
2025-07-11,8801077.284121513,4459314.985583305
2025-07-14,8955398.068188667,4516589.914124489
2025-07-15,8909080.125807762,4509779.154135704
2025-07-16,8852990.17443943,4500288.610753059
2025-07-17,8836865.778550148,4519110.043843269
2025-07-18,8757819.691124916,4467244.196080208
2025-07-21,8720526.926133156,4430619.205452919
2025-07-22,8679848.596621513,4411995.577105522
2025-07-23,8663883.976973534,4426396.872572899
2025-07-24,8707057.757138252,4423312.251957893
2025-07-25,8595989.302168846,4387640.727171898
2025-07-28,8633629.797623634,4369860.362267494
2025-07-29,8814453.778294563,4429108.4856386185
2025-07-30,8821167.791481972,4431238.943390846
2025-07-31,8738807.946606636,4362516.924427986
2025-08-01,8637216.280911446,4295326.247441292
2025-08-04,8735073.54403019,4305348.884552956
2025-08-05,8668423.181229591,4254239.319588661
2025-08-06,8648206.299918175,4225434.677451134
2025-08-07,8625486.862875938,4235023.640234947
2025-08-08,8606340.485154152,4216787.867699623
