Ticker,Buy_Date,Sell_Date,Buy_Price,Sell_Price,PnL,Return_%,Holding_Period
DCMSHRIRAM.NS,2019-05-24,2019-06-06,548.7684326171875,472.5809020996094,-7923.503173828125,-0.1388336609564519,13
J&KBANK.NS,2019-05-24,2019-06-10,57.410099029541016,49.72039031982422,-8028.055892944336,-0.13394348450365798,17
LINDEINDIA.NS,2019-05-24,2019-06-13,527.3433837890625,525.2540283203125,-355.1904296875,-0.0039620397884535564,20
EDELWEISS.NS,2019-05-24,2019-06-17,84.71765899658203,81.70197296142578,-2005.4312133789062,-0.03559689999552418,24
BALRAMCHIN.NS,2019-05-24,2019-06-17,143.36953735351562,139.15553283691406,-2187.068344116211,-0.02939260734454919,24
HUHTAMAKI.NS,2019-05-24,2019-06-19,244.45372009277344,234.4306182861328,-2726.28369140625,-0.041002042443194255,26
BIRLACORPN.NS,2019-05-24,2019-06-19,577.6279907226562,545.2789306640625,-4302.424987792969,-0.056003276465398835,26
NAM-INDIA.NS,2019-05-24,2019-06-25,187.68299865722656,181.4983673095703,-2158.4363403320312,-0.03295253907868077,32
REDINGTON.NS,2019-06-21,2019-07-05,42.58003234863281,39.25764846801758,-6146.410179138184,-0.07802680499189221,14
PGHL.NS,2019-05-24,2019-07-08,3163.981689453125,3325.244140625,3386.511474609375,0.05096819988226551,45
BEL.NS,2019-05-24,2019-07-08,32.54970932006836,29.46360969543457,-8637.992849349976,-0.09481189507062879,45
ATUL.NS,2019-05-24,2019-07-08,3634.54833984375,3791.839599609375,5505.194091796875,0.0432767004475684,45
MAHSCOOTER.NS,2019-06-21,2019-07-08,4092.5341796875,3711.042724609375,-8774.303466796875,-0.09321643713364298,17
SRF.NS,2019-05-24,2019-07-09,558.521240234375,544.6898193359375,-2434.330078125,-0.024764359709280443,46
PNCINFRA.NS,2019-06-14,2019-07-12,204.3384246826172,188.27517700195312,-5525.7572021484375,-0.07861099891326774,28
JUSTDIAL.NS,2019-05-24,2019-07-22,679.5499877929688,725.9000244140625,4774.053771972656,0.06820695674151747,59
